day,hour,status
0,0,0.0
0,5,0.0
0,10,0.0
0,15,0.0
0,20,0.0
0,25,0.0
0,30,0.0
0,35,0.0
0,40,0.0
0,45,0.0
0,50,0.0
0,55,0.0
0,60,0.0
0,65,0.0
0,70,0.0
0,75,0.0
0,80,0.0
0,85,0.0
0,90,0.0
0,95,0.0
0,100,0.0
0,105,0.0
0,110,0.0
0,115,0.13333333333333333
0,120,0.2
0,125,0.8
0,130,0.8
0,135,0.4
0,140,0.4
0,145,0.4666666666666667
0,150,0.6
0,155,0.6
0,160,0.6
0,165,0.6
0,170,0.8
0,175,0.8
0,180,0.8
0,185,0.8666666666666667
0,190,1.0
0,195,0.8
0,200,0.8
0,205,0.8
0,210,0.8
0,215,0.8
0,220,0.6
0,225,0.4666666666666667
0,230,0.4
0,235,0.4
1,0,0.25
1,5,0.25
1,10,0.25
1,15,0.25
1,20,0.25
1,25,0.25
1,30,0.25
1,35,0.25
1,40,0.25
1,45,0.25
1,50,0.25
1,55,0.25
1,60,0.25
1,65,1.4545454545454546
1,70,1.5
1,75,1.5
1,80,1.25
1,85,1.0833333333333333
1,90,0.75
1,95,0.6363636363636364
1,100,0.75
1,105,1.0833333333333333
1,110,1.25
1,115,1.3333333333333333
1,120,1.5
1,125,1.3333333333333333
1,130,1.0
1,135,1.0
1,140,1.0
1,145,0.8333333333333334
1,150,1.0
1,155,1.3636363636363635
1,160,1.3333333333333333
1,165,1.4545454545454546
1,170,1.5
1,175,1.5
1,180,1.3333333333333333
1,185,1.4545454545454546
1,190,1.5
1,195,1.5
1,200,1.3333333333333333
1,205,0.9166666666666666
1,210,0.75
1,215,0.75
1,220,0.75
1,225,0.5
1,230,0.5
1,235,0.5
2,0,0.5
2,5,0.25
2,10,0.25
2,15,0.25
2,20,0.3333333333333333
2,25,0.0
2,30,0.0
2,35,0.0
2,40,0.0
2,45,0.0
2,50,0.0
2,55,0.16666666666666666
2,60,0.5
2,65,1.5
2,70,1.5
2,75,1.4545454545454546
2,80,1.5
2,85,1.0
2,90,1.0
2,95,0.5
2,100,0.5
2,105,0.75
2,110,0.75
2,115,1.2222222222222223
2,120,1.5
2,125,1.5
2,130,1.25
2,135,1.25
2,140,1.25
2,145,1.4166666666666667
2,150,1.25
2,155,1.4166666666666667
2,160,1.5
2,165,1.5833333333333333
2,170,1.75
2,175,1.7272727272727273
2,180,1.6666666666666667
2,185,1.75
2,190,1.75
2,195,1.75
2,200,1.25
2,205,1.25
2,210,1.0
2,215,1.0
2,220,1.0
2,225,0.6666666666666666
2,230,0.5
2,235,0.5
3,0,0.0
3,5,0.0
3,10,0.0
3,15,0.0
3,20,0.0
3,25,0.0
3,30,0.0
3,35,0.0
3,40,0.0
3,45,0.0
3,50,0.0
3,55,0.0
3,60,0.0
3,65,1.9090909090909092
3,70,2.0
3,75,1.6666666666666667
3,80,0.75
3,85,0.75
3,90,0.75
3,95,0.75
3,100,0.75
3,105,1.0
3,110,1.0
3,115,1.4166666666666667
3,120,1.5
3,125,1.4166666666666667
3,130,1.25
3,135,0.75
3,140,0.75
3,145,1.1666666666666667
3,150,1.5
3,155,1.4166666666666667
3,160,1.5
3,165,1.5454545454545454
3,170,1.5
3,175,1.5833333333333333
3,180,1.75
3,185,1.5833333333333333
3,190,1.5
3,195,1.4
3,200,1.5
3,205,1.1
3,210,1.0
3,215,1.1
3,220,1.25
3,225,0.5833333333333334
3,230,0.5
3,235,0.5454545454545454
4,0,0.5
4,5,0.5
4,10,0.5
4,15,0.5
4,20,0.5
4,25,0.3333333333333333
4,30,0.0
4,35,0.0
4,40,0.0
4,45,0.0
4,50,0.0
4,55,0.0
4,60,0.25
4,65,1.5
4,70,1.5
4,75,1.3333333333333333
4,80,1.0
4,85,0.75
4,90,0.6666666666666666
4,95,0.75
4,100,0.75
4,105,0.8181818181818182
4,110,1.0
4,115,1.1666666666666667
4,120,1.5
4,125,1.4545454545454546
4,130,1.5
4,135,1.25
4,140,1.3333333333333333
4,145,1.6666666666666667
4,150,1.6666666666666667
4,155,1.7777777777777777
4,160,1.6666666666666667
4,165,1.6666666666666667
4,170,1.6666666666666667
4,175,1.4444444444444444
4,180,1.0
4,185,1.125
4,190,1.3333333333333333
4,195,1.3333333333333333
4,200,1.3333333333333333
4,205,1.2222222222222223
4,210,1.0
4,215,1.0
4,220,0.6666666666666666
4,225,0.6666666666666666
4,230,0.6666666666666666
4,235,0.4444444444444444
5,0,0.5
5,5,0.25
5,10,0.0
5,15,0.0
5,20,0.0
5,25,0.0
5,30,0.0
5,35,0.0
5,40,0.0
5,45,0.0
5,50,0.0
5,55,0.0
5,60,0.0
5,65,1.8333333333333333
5,70,2.0
5,75,1.5833333333333333
5,80,1.0
5,85,0.9090909090909091
5,90,1.0
5,95,1.0
5,100,1.0
5,105,1.1333333333333333
5,110,1.4
5,115,1.9285714285714286
5,120,1.8
5,125,1.7333333333333334
5,130,1.4
5,135,1.5333333333333334
5,140,2.0
5,145,2.0
5,150,2.0
5,155,2.0
5,160,2.0
5,165,2.0
5,170,2.0
5,175,2.0
5,180,2.0
5,185,2.0
5,190,2.0
5,195,1.9285714285714286
5,200,1.5
5,205,1.2
5,210,1.2
5,215,1.2
5,220,1.0
5,225,1.0
5,230,0.8
5,235,0.5333333333333333
6,0,0.2
6,5,0.2
6,10,0.2
6,15,0.2
6,20,0.2
6,25,0.2
6,30,0.2
6,35,0.21428571428571427
6,40,0.2
6,45,0.2
6,50,0.2
6,55,0.2
6,60,0.2
6,65,0.2
6,70,0.2
6,75,0.2
6,80,0.2
6,85,0.7333333333333333
6,90,0.8
6,95,0.8666666666666667
6,100,1.0
